identifier	mzs	intensities	fold	precursor_mz
MassSpecGymID0065435	119.0491,121.0282,145.0283,153.0182,154.0216,163.0388,171.0286,187.0392,203.0703,225.0547,229.0489,243.0644,247.0612,271.0601	0.01110055,0.00316214,0.0030393399999999998,0.03413743,0.00238786,0.0025193700000000004,0.0011781600000000001,0.00131982,0.00111112,0.00178079,0.0026208,0.0019303799999999998,0.00135632,1.0	train	271.0601
MassSpecGymID0406091	90.390854,97.24424,98.984024,102.076546,102.822891,104.106865,105.179657,106.96241,116.875473,120.650558,124.999893,127.254745,128.366882,150.034698,166.063354,174.974304,182.991989,183.491196,183.49765,183.582718,183.587891,183.625458,183.664734,183.670731,183.68663,183.693344,183.724152,183.731094,183.739548,183.746475,183.754257,183.760986,183.769333,183.776337,183.792542,183.79866,183.808304,183.813675,183.821838,183.8302,183.836395,183.844574,183.851883,183.859421,183.866974,183.874496,183.882172,183.889252,183.898026,183.904449,183.912155,183.919785,183.927246,183.934921,183.942337,183.949829,183.957413,183.965363,183.97229,183.980209,183.987656,183.9953,184.002625,184.010376,184.017944,184.025284,184.032837,184.040298,184.048355,184.073425,184.100616,184.108475,184.115784,184.12352,184.130875,184.138443,184.146057,184.153595,184.16124,184.168442,184.176819,184.183655,184.191254,184.199646,184.206055,184.214279,184.22168,184.229126,184.23671,184.244766,184.251404,184.260178,184.266846,184.274872,184.28157,184.296814,184.304382,184.319641,184.327133,184.341965,184.358566,184.364807,184.379654,184.388565,184.395203,184.40477,184.410294,184.419769,184.425156,184.442139,184.448303,184.494278,184.501373,184.50975,184.516769,184.52388,184.745392,184.75087,185.163559,274.23999,285.241913,324.133423,350.858704,379.523743,404.199158,425.197479,436.383972,450.297363,468.309662,492.304901,526.328796,530.298828,571.470459,718.094849,754.539429,824.522156,1231.933716,1266.479126,1367.817017	0.00042261348319955054,0.0004991026070329795,0.0028097989942807793,0.0003825701304706489,0.00043955279664658264,0.004783267533255161,0.0003879558027967528,0.0004658603385207376,0.00035601989465958167,0.0003936807693599038,0.01922843607452454,0.00041604271947939244,0.0003883788570313858,0.00040598708319751053,0.0006243234266618444,0.0004117073286518203,0.0014171792482860826,0.0006747744983622637,0.0005343948036565272,0.0003844823954511435,0.0007081826268209643,0.0007868215216008207,0.0004934869771600928,0.0008009126574676905,0.0006137758396612243,0.0007913498535663634,0.0007011013396839617,0.0008653887182987433,0.0006519425946569891,0.0008852443274231463,0.0008949030050876711,0.001034901694388687,0.0008507371245287284,0.0010239909483570151,0.0008072095214376209,0.0012883107569966632,0.0008766019756959689,0.0014481899055778231,0.0010544950506663358,0.0009535294063647102,0.0014660509940104796,0.0012096750267643543,0.0012709384804476776,0.001372820011576991,0.001393320123776904,0.0014865025465980264,0.001506975162594249,0.001863484725299338,0.0013162103873744497,0.0018518142509189556,0.001942828926370082,0.0019186612206500539,0.002073670511992853,0.0021313934776575547,0.0022774433277814206,0.0024973964288552675,0.0025721413782654316,0.002489378295394321,0.0032470943951893438,0.0030450707601076613,0.0033554977413392507,0.0036299856877110917,0.004225943966130926,0.00437323831006531,0.0049070225398575315,0.005840148745422222,0.006387088458156445,0.006566961683092196,0.004136523454244323,1.0,0.007070160048075962,0.006226824153623781,0.006011500394824694,0.005048782342156184,0.004736023258319475,0.004405131131948373,0.0038817764106482814,0.003590915185790731,0.0032462890125260152,0.0034405163520748274,0.002433163788073064,0.0027824504314384155,0.002627333437529086,0.002117248957369558,0.0026790879383818476,0.0019185798729505984,0.0019368567264485372,0.0019412071624769493,0.0017692933430601592,0.001523114047811613,0.002004231417845651,0.0012609030512001353,0.0015486090476904881,0.0013635071646444475,0.001846937130648724,0.001430478749803969,0.0016071150875733072,0.0013068298892068358,0.0012797119843107121,0.0013946619439994935,0.0008118730005359246,0.0012356899663527761,0.0015902290287100028,0.0007316136908118897,0.0009907208202663642,0.0006651745486397248,0.0010234897891704133,0.000716186181943209,0.0010831286771502751,0.0005687223466526813,0.0007418338642287552,0.0007591995520078471,0.000730609712177473,0.0004956687320942327,0.0005732350110053665,0.0008393484096299826,0.00045023885087739057,0.0005265079780938169,0.0013977208833788155,0.0005948600340084737,0.0005825667421607747,0.00044110639038004744,0.00041852579259251077,0.0004214931898052779,0.0005442237512765927,0.0005517731502633085,0.0005211908650145796,0.002082593637414931,0.00582090215381333,0.0004120269343541259,0.0015740217659331315,0.0004917843326421422,0.0015861098730398484,0.0004883826231659671,0.025194674419439823,0.00045202305049463584,0.0005129950430163417,0.0005895459299269044,0.00046417792696210654	train	754.539
MassSpecGymID0244889	50.598759,61.169579,72.044373,93.777672,97.334427,100.498787,101.070709,105.06974,109.064613,113.070709,115.053963,117.057297,118.064873,125.070869,130.064896,132.080536,133.064087,135.0802,136.212265,142.065002,143.081314,144.080399,146.060089,149.095062,151.11145,152.106216,155.081589,156.080658,158.083755,159.091415,160.075363,169.075607,169.092041,170.059647,178.085342,183.072556,183.091232,184.075272,187.086151,188.069626,194.15358,201.101837,201.118347,211.085861,211.630173,213.101959,229.096588,272.138702,363.206268,380.231476,404.230927,422.245636,429.985138	0.0011703761191643573,0.0013215132700916648,0.004502887843743338,0.0012136771210829247,0.0012823758260498827,0.0015259439618418248,0.017003970368791303,0.0026734205126838625,0.055011841158601575,0.009823498454487316,0.013234285067149862,0.010423883500319761,0.01838710429545939,0.0019439651726710723,0.13392833351097846,0.28400127904497974,0.0028512044340225965,0.006710406230014922,0.0015596687806437859,0.041368694707951396,0.008719322905563846,0.01843748334576849,0.0182318035866553,0.0013610670699211256,0.014428809821999573,0.006000935967810701,0.002753360823918141,0.00981392227137071,0.02653518706032829,1.0,0.05486653298870177,0.1163514575783415,0.0023449157962055,0.175489800948625,0.0014022862929013004,0.001526776673417182,0.04742334057237263,0.01563124533681518,0.1263244277606054,0.011697932210616073,0.6160550122575144,0.3573698305265402,0.004789756981453848,0.015845252211681943,0.0013073571733105947,0.0017549396450650182,0.2557681930824984,0.007623474472393946,0.001579237502664677,0.002438179492645491,0.002759606160733319,0.001448918141121296,0.001740783548283948	train	422.244
MassSpecGymID0020481	55.029,55.0542,56.0368,57.0447,58.0287,58.0651,69.0083,69.0447,69.9923,70.0525,71.0603,72.0444,83.024,83.0855,85.076,96.0556,101.0346,114.0662,115.0503,126.0299,128.0818,171.0876	0.00283865,0.036434959999999995,0.0034932,0.0028635500000000003,0.00690149,0.006882200000000001,0.00280063,0.00245358,0.00267342,0.00271885,1.0,0.03279145,0.05473159,0.028232590000000002,0.58838028,0.00152276,0.07038417,0.055619440000000006,0.0012928400000000002,0.0012017899999999999,0.013847110000000001,0.65265897	train	253.1659
MassSpecGymID0104871	64.02441,67.02139,68.99003,68.99662,69.0019,69.03204,69.03888,77.03987,79.05256,83.01592,88.94614,89.03905,90.04022,90.50365,91.11618,92.99678,93.0315,97.02289,97.02956,97.03556,103.04874,108.05067,115.05204,117.02516,117.03361,117.43025,118.04076,123.04354,124.04895,125.02056,127.05717,134.03667,135.04282,139.05617,145.026,145.03311,151.05548,152.0656,153.01149,153.02159,155.0119,159.03917,165.0148,289.06226,289.07892,289.08585	0.028999999999999998,0.043,0.023,0.071,0.018000000000000002,0.057,0.022000000000000002,0.08199999999999999,0.031,0.08,0.034,1.0,0.15,0.018000000000000002,0.022000000000000002,0.024,0.027000000000000003,0.025,0.032,0.038,0.049,0.026000000000000002,0.031,0.085,0.08800000000000001,0.018000000000000002,0.043,0.027000000000000003,0.055,0.027999999999999997,0.018000000000000002,0.031,0.063,0.03,0.022000000000000002,0.018000000000000002,0.024,0.049,0.156,0.14400000000000002,0.064,0.055,0.028999999999999998,0.051,0.08,0.03	train	289.0706646
MassSpecGymID0165840	123.043999,135.044998,137.024002,147.044998,148.052002,151.039993,163.039993,175.039993,176.046997,211.076004,227.070999,229.087006,239.070999,247.097,249.054993,255.065994,257.082001,267.06601,270.053009,285.076996	0.268,0.014,0.014,0.279,0.053,0.211,0.125,0.519,0.085,0.012,0.032,0.015,0.116,0.018,0.012,0.089,0.274,0.15,0.04,1.0	train	285.07
MassSpecGymID0065142	42.033768,44.049389,44.979355,56.049324,61.010464,62.005695,74.023361,74.059776,79.020981,88.021278,88.027061,88.03112,88.033653,88.038277,90.037201,102.054817,134.026871	0.00559,0.01981,0.00249,0.07971,0.02007,0.00524,0.00367,0.00194,0.01204,1.0,0.01351,0.01509,0.00897,0.00904,0.00209,0.00193,0.022719999999999997	train	223.0747
MassSpecGymID0166617	40.022793,41.038631,42.033802,43.017849,43.054268,45.033451,53.03854,55.017773,55.054169,57.033398,62.989784,65.038574,67.054253,75.043938,77.038582,78.013321,78.04631,79.054108,81.069778,90.04644,91.054146,91.060158,92.061913,93.069809,94.041237,95.049057,102.046692,103.054192,104.049423,104.062035,105.033562,105.044609,105.069847,105.077065,105.086319,106.041237,106.064964,107.049103,107.08548,108.056839,109.064766,115.054245,116.062073,117.055023,117.058777,117.069855,117.077911,117.088997,118.041321,118.065193,118.07769,119.049149,119.085533,120.056976,121.064796,121.073357,122.03627,122.07267,123.043983,123.080467,127.054405,128.062103,129.033691,129.069901,129.078888,130.041412,130.065369,130.077805,131.049255,131.085617,132.044495,132.057007,132.081085,133.053284,133.064865,133.088409,134.036316,134.060379,134.072723,134.096558,135.044159,135.068344,135.080521,136.052002,136.075745,136.088028,137.05983,138.067719,139.075546,141.069839,143.049316,143.060837,144.057129,144.078323,145.064926,145.075134,145.085938,145.091614,146.037506,146.06015,146.072845,147.044388,147.068039,147.080643,148.051926,148.075668,148.08847,149.059952,149.096313,150.067673,150.091248,151.075546,151.089935,155.060623,157.065018,158.072784,159.044342,159.080704,160.056656,160.088455,160.112778,160.119766,160.128906,161.059952,161.084885,161.096146,162.067642,162.091629,163.075867,164.070496,164.083786,165.091446,174.067963,175.075836,176.083649,176.103867,176.110306,178.086548,179.093674,179.107224,189.091019,191.107147,192.093445	0.0022400000000000002,0.008,0.00267,0.014450000000000001,0.0028799999999999997,0.03204,0.010049999999999998,0.01671,0.03636,0.00375,0.00292,0.01087,0.00509,0.00395,0.00977,0.00216,0.008100000000000001,0.08321999999999999,0.00596,0.00777,0.31440999999999997,0.0032600000000000003,0.0060999999999999995,0.02021,0.0079,0.049109999999999994,0.0059299999999999995,0.07846,0.00851,0.020649999999999998,0.00501,0.00787,0.29376,0.0046,0.00314,0.00525,0.00252,0.0713,0.00242,0.010620000000000001,0.025009999999999998,0.15002000000000001,0.09836,0.00293,0.005659999999999999,0.40396,0.0039000000000000003,0.00298,0.02322,0.011850000000000001,0.0138,0.04934,0.043899999999999995,0.01736,0.20488,0.0025,0.005679999999999999,0.00846,0.00331,0.00701,0.0068200000000000005,0.07258,0.0057599999999999995,0.25284,0.00243,0.004050000000000001,0.0088,0.04162,0.05995,0.03383,0.04289,0.02199,0.00395,0.01978,0.35489,0.00312,0.018189999999999998,0.00903,0.054770000000000006,0.00526,0.05473,0.00316,0.03658,0.01264,0.018000000000000002,0.00268,0.032170000000000004,0.00312,0.0037,0.00391,0.01798,0.00832,0.14196,0.0023499999999999997,1.0,0.013580000000000002,0.00758,0.00625,0.0023499999999999997,0.015560000000000001,0.05136,0.0113,0.03034,0.17849,0.00712,0.01321,0.03197,0.06697,0.00681,0.09301,0.00819,0.07229000000000001,0.00245,0.010740000000000001,0.02986,0.02674,0.00762,0.35564999999999997,0.00502,0.75304,0.00417,0.0051400000000000005,0.00216,0.42538,0.00361,0.01579,0.00468,0.01315,0.00733,0.044160000000000005,0.06439,0.046029999999999995,0.014879999999999999,0.05219,0.36756,0.0040999999999999995,0.00368,0.00749,0.00256,0.018349999999999998,0.0033,0.03737,0.00367	train	208.13321
MassSpecGymID0071807	111.044609,124.055382,130.066315,131.073669,132.080414,139.075638,141.018356,143.073105,144.081207,145.085495,148.077255,149.076752,152.047485,156.043213,159.069031,160.075943,161.082993,162.091965,163.07576,166.086456,167.071274,172.076477,173.083344,174.09256,175.094238,176.104141,178.083389,186.091187,187.098602,188.107147,189.10997,190.086075,192.102371,193.104477,195.066788,196.06955,197.070663,198.09111,199.095383,200.107056,201.107269,204.102493,205.106003,207.103607,210.091919,211.097778,212.107574,214.111343,215.116928,216.122528,222.110107,223.117157,224.128815,225.13002,226.121231,227.119644,228.123871,229.134659,236.128571,237.131073,238.124084,248.106857,249.115402,250.122208,251.121567,252.13205,253.131729,254.13913,261.113129,262.12149,263.126251,265.133026,266.140594,267.146576,274.123718,276.138092,277.142487,288.137665,289.144836,290.120575,296.127319,304.132568,305.135742,305.167999,308.165894,316.133728,322.144531,323.14978,333.158051,334.145538,336.1586,337.161469,348.158356,349.1604,350.162811,354.168274,355.177185,365.185913,366.187561,367.19223,368.150116,368.184265,369.154816,369.185211,380.184631,382.18924,397.212708,398.214752,399.216309,404.165161,434.178955,435.181549,436.195007,437.195862,448.196625,449.199463,450.205475,577.252014,578.256348,607.259827,608.265869,608.945007,609.094238,609.154724,609.202515,609.282532,609.733704,610.098572,610.157227,610.285889,611.286621,612.287354,613.293579	0.004036038326474187,0.0028601846408084788,0.005148332353455262,0.009788187437433461,0.0034004417396278582,0.006784993564584558,0.0029714140435065863,0.006530754929846027,0.006085837319053597,0.003320992166272067,0.011107050355139593,0.0034322215689701744,0.013951345081276913,0.003702350118379864,0.015969364244514006,0.014888850046875249,0.009502168973352614,0.005116552524112946,0.00320976276357396,0.0029078543848219535,0.01086870163507222,0.004735194572005148,0.0030985333608758523,0.42263995042346625,0.05370791158851477,0.008151526226304166,0.004830534060032097,0.0070233422846519315,0.003956588753118395,0.02232533011297729,0.0044332861932531425,0.007754278359525209,0.052325489012124006,0.006355965868463286,0.6796275404001081,0.06823129359795338,0.0076748287861694185,0.0035116711423259657,0.00791317750623679,0.018464080847885846,0.010376114280266314,0.01611237347655443,0.002987303958177745,0.004560405510622408,0.005418460902864952,0.003479891312983649,0.004941763462730205,0.006483085185832552,0.013125069518376687,0.0029714140435065863,0.005021213036085996,0.0028284048114661626,0.028585956493413632,0.00854877409308312,0.004353836619897351,0.003225652678245118,0.004814644145360939,0.0057203692816169575,0.0800533901132951,0.01175853685665708,0.007611269127484785,0.004369726534568509,0.003003193872848903,0.005402570988193793,0.003479891312983649,0.004592185339964724,0.005768039025630433,0.005323121414838003,0.0028601846408084788,0.006085837319053597,0.0030826434462046938,0.00543435081753611,0.004671634913320516,0.003940698838447237,0.0033686619102855416,0.010757472232374112,0.004401506363910825,0.007690718700840577,0.003908919009104921,0.004830534060032097,0.004528625681280092,0.011345399075206966,0.005037102950757154,0.006308296124449812,0.005672699537603483,0.003162093019560485,0.006308296124449812,0.0035116711423259657,0.01024899496289705,0.005593249964247692,0.03546628954602514,0.00953394880269493,0.01050323359763558,0.004735194572005148,0.0055296903055630595,0.005482020561549584,0.00320976276357396,0.09125577995646163,0.022388889771661927,0.005863378513657382,0.005783928940301591,0.017876154005052994,0.0030985333608758523,0.006641984332544134,0.0057203692816169575,0.0055296903055630595,0.22077447444107226,0.0459377433143184,0.008580553922425436,0.00409959798515882,0.007325250663403938,0.0033845518249567,0.012410023358174567,0.004417396278581984,0.09565728632037246,0.02610712980471295,0.005768039025630433,0.011250059587180016,0.009740517693419987,0.004766974401347465,0.0036387904596952314,0.003225652678245118,0.005593249964247692,0.004528625681280092,0.007960847250250267,1.0,0.004512735766608933,0.03804045572275277,0.006864443137940349,0.8336325933929735,0.20594918405288162,0.017399456564918245,0.003177982934231643	train	609.281
MassSpecGymID0002604	76.9789,134.0964	0.00951264,1.0	train	278.1055
MassSpecGymID0244062	53.03891,58.30407,61.693272,73.953468,79.054451,81.070084,82.396767,91.053932,103.054192,104.061707,104.28521,105.069763,107.049004,109.064796,118.041397,119.048523,120.0569,121.064659,122.072304,127.075287,131.048996,133.064667,134.072403,135.043716,135.080292,137.059479,137.095795,138.067474,139.465759,149.059738,150.067368,152.106308,154.085846,155.069946,165.090866,176.070862,180.102249,182.117157,208.095245,209.034332,268.452515,286.143066,318.169189,336.180237	0.0028883098580197377,0.001471500896372025,0.0014870449199252504,0.0015572808782027886,0.03530911305801605,0.14670161577246313,0.0017202052732236347,0.008451343176346372,0.024892890163626755,0.002659179436753671,0.0020644766096987797,0.09733379696741858,0.012767400382958684,0.019412758304250658,0.016357494119177755,0.0035935479636753443,0.01625329159091354,0.018699460334530415,0.009515820937454303,0.006968903893029484,0.002359237352634021,0.08226242687112623,0.06001029359781969,0.030571640101738514,0.03723829909234416,0.0021076544529021845,0.0026729963465787604,0.0373897093958441,0.0015762791292122864,0.0037829547691942784,0.39162361355945474,0.0026188801164304934,0.002213584094894537,0.014172119548509443,1.0,0.0022377636870884433,0.012844544796148766,0.06782836174051612,0.00250431490579746,0.0017075397725506362,0.001600458721406193,0.033048321187885796,0.4750737189709626,0.04153881227540325	train	336.181
MassSpecGymID0018053	60.0441,159.9715,160.9792,182.024,187.9665,216.9933,218.0007	0.01594293,0.56871562,0.014396899999999999,1.0,0.12056435,0.01469284,0.02674964	train	249.0192
MassSpecGymID0243301	57.619511,64.32299,65.356644,69.033752,82.39035,89.588181,93.130814,117.057297,118.641243,132.080612,133.063705,157.087784,183.032974,185.083511,200.106659,208.75058,241.132172,260.16098,293.289673,382.132263	0.00022322402894720355,0.00021779608903359376,0.00020694020920637412,0.0010195480471063766,0.00022995241279844905,0.00019450118023768497,0.00020829719418477658,0.0008933484441149483,0.00023571959895665948,0.07794974044269826,0.00030645244095588734,0.00035666088515677813,0.0010129892863774313,0.0002841752708937804,1.0,0.0009476278432510465,0.002695028708148039,0.0004426032671222668,0.00022927392030924783,0.19126296175089058	train	382.133
MassSpecGymID0094830	68.99197,77.0418,99.0428,105.0378,111.04939,112.04723,115.04118,119.04675,120.04819,123.04376,124.02526,124.0459,124.05338,127.03778,139.03999,140.00023,140.04318,141.04126,143.04813,147.04494,151.03842,151.07314,159.03807,163.03749,165.05553,179.07957,180.07701,181.04541,189.04794,207.04332,207.06032,207.07407,244.06752,249.07143,273.06647,273.08081,291.08197,291.09534	0.021,0.027999999999999997,0.02,0.025,0.04,0.024,0.027000000000000003,0.049,0.027000000000000003,0.496,0.042,0.037000000000000005,0.038,0.027999999999999997,1.0,0.018000000000000002,0.091,0.040999999999999995,0.05,0.022000000000000002,0.068,0.05,0.03,0.045,0.141,0.025,0.027999999999999997,0.026000000000000002,0.026000000000000002,0.033,0.024,0.057999999999999996,0.044000000000000004,0.027000000000000003,0.032,0.019,0.24100000000000002,0.057999999999999996	train	291.0863146
MassSpecGymID0192120	42.2374,42.239754,165.054855,248.091415,250.106552,320.129272,337.131409,338.139282,379.166046,380.150055,397.176056,421.172638,439.187317	0.0152,0.02144,0.01466,0.01232,0.00525,0.005829999999999999,0.0268,0.58533,0.03072,1.0,0.02688,0.00473,0.02289	train	439.18636
MassSpecGymID0016054	115.0587,130.0687,142.0875,156.0847,166.0858,174.06,184.0968,194.1529,200.0743,202.0904,203.092,204.0863,217.1002,219.1175,220.1197,221.1105,226.1252,238.1442,239.1467,245.0987,246.0876,252.1036,263.1067,264.1074,313.1632,315.1736,341.153,342.1413,359.1651	0.045685279999999995,0.35736041,0.05786802,0.18832487,0.07664975,0.16192893000000003,0.1284264,0.041624369999999994,0.20253807,1.0,0.13502538,0.058375630000000005,0.15837563,0.85228426,0.07005076,0.07817259,0.05025381,0.15888325,0.04771574,0.1035533,0.04670051,0.048730960000000004,0.33096446999999996,0.05583756,0.08477157,0.26091370999999997,0.055329949999999996,0.15482234,0.39796954	train	359.1635
MassSpecGymID0083799	63.0227,65.0384,77.0385,79.0542,89.0384,91.0542,94.0412,95.0492,103.054,105.0447,107.0491,115.0542,120.0448	0.034186589999999996,0.8533613800000001,0.25552447,0.15361509,0.04832748,1.0,0.050126809999999994,0.04200368,0.07701558,0.31649389,0.14715351,0.04372996,0.025861179999999998	train	300.1958
MassSpecGymID0148776	61.0102,111.079,127.0395,151.0726,179.0699,197.0814,197.1987,197.2099,280.9182,281.0301,358.9373	0.014934929999999999,0.02005005,0.22880880999999997,0.0167968,0.08199199,1.0,0.017867869999999998,0.01145145,0.020650650000000003,0.01011011,0.09603604	train	359.1337
MassSpecGymID0013165	53.0385,55.0541,65.0386,67.0416,80.0494,82.0651,83.0855,92.0496,107.0603,108.0443,109.0759,110.06,125.0713,135.0553,136.0393,151.05,153.0657	0.004004004004004004,0.02002002002002002,0.009009009009009009,0.013013013013013013,0.04504504504504504,0.2222222222222222,0.012012012012012012,0.003003003003003003,0.005005005005005005,0.01001001001001001,0.025025025025025027,0.35935935935935936,0.003003003003003003,0.4034034034034034,0.6566566566566566,0.002002002002002002,1.0	train	235.1441
MassSpecGymID0036552	169.074677,179.059128,180.066147,186.03714,195.07753,196.083664,198.02269,199.025223,200.018814,212.038147,213.046234,214.049408,215.061935,222.103577,223.108521,224.117325,227.061859,228.057816,230.073074,239.064407,240.063568,241.061996,253.065384,254.068512,255.078186,256.089691,257.092316,258.086578,282.105225,283.106171,311.131897,312.135498,313.149109,313.727997,314.150909,315.144714,316.143677	0.01288868338920356,0.004941625245636343,0.015345046815397063,0.006415443301352445,0.006935614379840481,0.004363657380649636,0.03684545139290255,0.004970523638885678,0.0034678071899202404,0.01239741070396486,0.07978846376141487,0.00979655531152468,0.005664085076869726,0.008062651716564558,0.01170384926598081,0.0040168766616576115,0.005635186683620391,0.006559935267599121,0.011068084614495434,0.007195699919084499,0.005403999537625708,0.003959079875158941,0.007629175817824529,0.004941625245636343,0.004594844526644318,0.3062651716564559,0.0519304126690556,0.01699225523060918,0.05161253034331291,0.007195699919084499,0.029823141833314068,0.005837475436365738,1.0,0.01754132470234655,0.29265402843601895,0.07117674257311293,0.0065021384811004505	train	313.148
MassSpecGymID0205103	51.238541,51.241646,92.049202,94.06459,119.060089,151.031708,173.542175,188.070068,204.064575,235.053406,265.130707,268.143555,274.100983,310.118103,312.08017,326.095978,354.091248,461.164825,462.169037	0.014870000000000001,0.022860000000000002,0.013080000000000001,0.032240000000000005,0.01336,0.01099,0.0092,0.0070799999999999995,0.0062,0.03087,0.00659,0.0168,0.01437,0.011810000000000001,0.4501,0.0070599999999999994,0.02558,1.0,0.00897	train	461.16419
